k,n_iter,lambda_reg,MAE,RMSE
20,15,0.1,0.6479,0.847
20,15,0.2,0.6492,0.8487
20,15,0.4,0.6488,0.8478
20,25,0.1,0.6515,0.8547
20,25,0.2,0.6512,0.8542
20,25,0.4,0.6506,0.8527
20,30,0.1,0.6522,0.8567
20,30,0.2,0.6516,0.8551
20,30,0.4,0.6511,0.8534
50,15,0.1,0.6908,0.9286
50,15,0.2,0.6874,0.9203
50,15,0.4,0.6847,0.9135
50,25,0.1,0.6993,0.9522
50,25,0.2,0.6956,0.9415
50,25,0.4,0.6921,0.932
50,30,0.1,0.7007,0.957
50,30,0.2,0.698,0.9481
50,30,0.4,0.694,0.9371
100,15,0.1,0.7789,1.072
100,15,0.2,0.7698,1.0503
100,15,0.4,0.7569,1.0227
